Time stamp;Contador;RSSI_DL;RSSI_UL;Perdas;PSR
23/01/2026 19:08:27;128;-52;-55;0;100.0
23/01/2026 19:08:28;129;-52;-55;0;100.0
23/01/2026 19:08:29;130;-52;-55;0;100.0
23/01/2026 19:08:30;131;-52;-55;0;100.0
23/01/2026 19:08:31;132;-52;-55;0;100.0
23/01/2026 19:08:32;133;-52;-55;0;100.0
23/01/2026 19:08:33;134;-52;-55;0;100.0
23/01/2026 19:08:34;135;-52;-55;0;100.0
23/01/2026 19:08:35;136;-52;-55;0;100.0
23/01/2026 19:08:36;137;-52;-55;0;100.0
23/01/2026 19:08:37;138;-52;-55;0;100.0
23/01/2026 19:08:38;139;-52;-55;0;100.0
23/01/2026 19:08:39;140;-52;-55;0;100.0
23/01/2026 19:08:40;141;-52;-55;0;100.0
23/01/2026 19:08:41;142;-52;-55;0;100.0
23/01/2026 19:08:42;143;-52;-55;0;100.0
23/01/2026 19:08:43;144;-52;-55;0;100.0
23/01/2026 19:08:44;145;-52;-55;0;100.0
23/01/2026 19:08:45;146;-52;-55;0;100.0
23/01/2026 19:08:46;147;-52;-55;0;100.0
23/01/2026 19:08:47;148;-52;-55;0;100.0
23/01/2026 19:08:48;149;-52;-55;0;100.0
23/01/2026 19:08:49;150;-52;-55;0;100.0
23/01/2026 19:08:50;151;-52;-55;0;100.0
23/01/2026 19:08:51;152;-52;-55;0;100.0
23/01/2026 19:08:52;153;-52;-55;0;100.0
23/01/2026 19:08:53;154;-52;-55;0;100.0
23/01/2026 19:08:54;155;-52;-55;0;100.0
23/01/2026 19:08:55;156;-52;-55;0;100.0
23/01/2026 19:08:56;157;-52;-55;0;100.0
23/01/2026 19:08:57;158;-52;-55;0;100.0
23/01/2026 19:08:58;159;-52;-55;0;100.0
23/01/2026 19:08:59;160;-52;-55;0;100.0
23/01/2026 19:09:00;161;-52;-55;0;100.0
23/01/2026 19:09:01;162;-52;-55;0;100.0
23/01/2026 19:09:02;163;-52;-55;0;100.0
23/01/2026 19:09:03;164;-52;-55;0;100.0
23/01/2026 19:09:04;165;-52;-55;0;100.0
23/01/2026 19:09:05;166;-52;-55;0;100.0
23/01/2026 19:09:06;167;-52;-55;0;100.0
23/01/2026 19:09:07;168;-52;-55;0;100.0
23/01/2026 19:09:08;169;-52;-55;0;100.0
23/01/2026 19:09:09;170;-52;-55;0;100.0
23/01/2026 19:09:10;171;-52;-55;0;100.0
23/01/2026 19:09:11;172;-52;-55;0;100.0
23/01/2026 19:09:12;173;-52;-55;0;100.0
23/01/2026 19:09:13;174;-52;-55;0;100.0
23/01/2026 19:09:14;175;-52;-55;0;100.0
23/01/2026 19:09:15;176;-52;-55;0;100.0
23/01/2026 19:09:16;177;-52;-55;0;100.0
23/01/2026 19:09:17;178;-52;-55;0;100.0
23/01/2026 19:09:18;179;-52;-55;0;100.0
23/01/2026 19:09:19;180;-52;-55;0;100.0
23/01/2026 19:09:20;181;-52;-55;0;100.0
23/01/2026 19:09:21;182;-52;-55;0;100.0
23/01/2026 19:09:22;183;-52;-55;0;100.0
23/01/2026 19:09:23;184;-52;-55;0;100.0
23/01/2026 19:09:24;185;-52;-55;0;100.0
23/01/2026 19:09:25;186;-52;-55;0;100.0
23/01/2026 19:09:26;187;-52;-55;0;100.0
23/01/2026 19:09:27;188;-52;-55;0;100.0
23/01/2026 19:09:28;189;-52;-55;0;100.0
23/01/2026 19:09:29;190;-52;-55;0;100.0
23/01/2026 19:09:30;191;-52;-55;0;100.0
23/01/2026 19:09:31;192;-52;-55;0;100.0
23/01/2026 19:09:32;193;-52;-55;0;100.0
23/01/2026 19:09:33;194;-52;-55;0;100.0
23/01/2026 19:09:34;195;-52;-55;0;100.0
23/01/2026 19:09:35;196;-52;-55;0;100.0
23/01/2026 19:09:36;197;-52;-55;0;100.0
23/01/2026 19:09:37;198;-52;-55;0;100.0
23/01/2026 19:09:38;199;-52;-55;0;100.0
23/01/2026 19:09:39;200;-52;-55;0;100.0
23/01/2026 19:09:40;201;-52;-55;0;100.0
23/01/2026 19:09:41;202;-52;-55;0;100.0
23/01/2026 19:09:42;203;-52;-55;0;100.0
23/01/2026 19:09:43;204;-52;-55;0;100.0
23/01/2026 19:09:44;205;-52;-55;0;100.0
23/01/2026 19:09:45;206;-52;-55;0;100.0
23/01/2026 19:09:46;207;-52;-55;0;100.0
23/01/2026 19:09:47;208;-52;-55;0;100.0
23/01/2026 19:09:48;209;-52;-55;0;100.0
23/01/2026 19:09:49;210;-52;-55;0;100.0
23/01/2026 19:09:50;211;-52;-55;0;100.0
23/01/2026 19:09:51;212;-52;-55;0;100.0
23/01/2026 19:09:52;213;-52;-55;0;100.0
23/01/2026 19:09:53;214;-52;-55;0;100.0
23/01/2026 19:09:54;215;-52;-55;0;100.0
23/01/2026 19:09:55;216;-52;-55;0;100.0
23/01/2026 19:09:56;217;-52;-55;0;100.0
23/01/2026 19:09:57;218;-52;-55;0;100.0
23/01/2026 19:09:58;219;-52;-55;0;100.0
23/01/2026 19:09:59;220;-52;-55;0;100.0
23/01/2026 19:10:00;221;-52;-55;0;100.0
23/01/2026 19:10:01;222;-52;-55;0;100.0
23/01/2026 19:10:02;223;-52;-55;0;100.0
23/01/2026 19:10:03;224;-52;-55;0;100.0
23/01/2026 19:10:04;225;-52;-55;0;100.0
23/01/2026 19:10:05;226;-52;-55;0;100.0
23/01/2026 19:10:06;227;-52;-55;0;100.0
23/01/2026 19:10:07;228;-52;-55;0;100.0
23/01/2026 19:10:08;229;-52;-55;0;100.0
23/01/2026 19:10:09;230;-52;-55;0;100.0
23/01/2026 19:10:10;231;-52;-55;0;100.0
23/01/2026 19:10:11;232;-52;-55;0;100.0
23/01/2026 19:10:12;233;-52;-55;0;100.0
23/01/2026 19:10:13;234;-52;-55;0;100.0
23/01/2026 19:10:14;235;-52;-55;0;100.0
23/01/2026 19:11:32;1;-52;-55;0;100.0
23/01/2026 19:11:33;2;-52;-55;0;100.0
23/01/2026 19:11:34;3;-52;-55;0;100.0
23/01/2026 19:11:35;4;-52;-55;0;100.0
23/01/2026 19:11:36;5;-52;-55;0;100.0
23/01/2026 19:11:37;6;-52;-55;0;100.0
23/01/2026 19:11:38;7;-52;-55;0;100.0
23/01/2026 19:11:39;8;-52;-55;0;100.0
23/01/2026 19:11:40;9;-52;-55;0;100.0
23/01/2026 19:11:41;10;-52;-55;0;100.0
23/01/2026 19:11:42;11;-52;-55;0;100.0
23/01/2026 19:11:43;12;-52;-55;0;100.0
23/01/2026 19:11:44;13;-52;-55;0;100.0
23/01/2026 19:11:45;14;-52;-55;0;100.0
23/01/2026 19:11:46;15;-52;-55;0;100.0
23/01/2026 19:11:47;16;-52;-55;0;100.0
23/01/2026 19:11:48;17;-52;-55;0;100.0
23/01/2026 19:11:49;18;-52;-55;0;100.0
23/01/2026 19:11:50;19;-52;-55;0;100.0
23/01/2026 19:11:51;20;-52;-55;0;100.0
23/01/2026 19:11:52;21;-52;-55;0;100.0
23/01/2026 19:11:53;22;-52;-55;0;100.0
23/01/2026 19:11:54;23;-52;-55;0;100.0
23/01/2026 19:11:55;24;-52;-55;0;100.0
23/01/2026 19:11:56;25;-52;-55;0;100.0
23/01/2026 19:11:57;26;-52;-55;0;100.0
23/01/2026 19:11:58;27;-52;-55;0;100.0
23/01/2026 19:11:59;28;-52;-55;0;100.0
23/01/2026 19:12:00;29;-52;-55;0;100.0
23/01/2026 19:12:01;30;-52;-55;0;100.0
23/01/2026 19:12:02;31;-52;-55;0;100.0
23/01/2026 19:12:03;32;-52;-55;0;100.0
23/01/2026 19:12:04;33;-52;-55;0;100.0
23/01/2026 19:12:05;34;-52;-55;0;100.0
23/01/2026 19:12:06;35;-52;-55;0;100.0
23/01/2026 19:12:07;36;-52;-55;0;100.0
23/01/2026 19:12:08;37;-52;-55;0;100.0
23/01/2026 19:12:09;38;-52;-55;0;100.0
23/01/2026 19:12:10;39;-52;-55;0;100.0
23/01/2026 19:12:11;40;-52;-55;0;100.0
23/01/2026 19:12:12;41;-52;-55;0;100.0
23/01/2026 19:12:13;42;-52;-55;0;100.0
23/01/2026 19:12:14;43;-52;-55;0;100.0
23/01/2026 19:12:15;44;-52;-55;0;100.0
23/01/2026 19:12:16;45;-52;-55;0;100.0
23/01/2026 19:12:17;46;-52;-55;0;100.0
23/01/2026 19:12:18;47;-52;-55;0;100.0
23/01/2026 19:12:19;48;-52;-55;0;100.0
23/01/2026 19:12:20;49;-52;-55;0;100.0
23/01/2026 19:12:21;50;-52;-55;0;100.0
23/01/2026 19:12:22;51;-52;-55;0;100.0
23/01/2026 19:12:23;52;-52;-55;0;100.0
23/01/2026 19:12:24;53;-52;-55;0;100.0
23/01/2026 19:12:25;54;-52;-55;0;100.0
23/01/2026 19:12:26;55;-52;-55;0;100.0
23/01/2026 19:12:27;56;-52;-55;0;100.0
23/01/2026 19:12:28;57;-52;-55;0;100.0
23/01/2026 19:12:29;58;-52;-55;0;100.0
23/01/2026 19:12:30;59;-52;-55;0;100.0
23/01/2026 19:12:31;60;-52;-55;0;100.0
23/01/2026 19:12:32;61;-52;-55;0;100.0
23/01/2026 19:12:33;62;-52;-55;0;100.0
23/01/2026 19:12:34;63;-52;-55;0;100.0
23/01/2026 19:12:35;64;-52;-55;0;100.0
23/01/2026 19:12:36;65;-52;-55;0;100.0
23/01/2026 19:12:37;66;-52;-55;0;100.0
23/01/2026 19:12:38;67;-52;-55;0;100.0
23/01/2026 19:12:39;68;-52;-55;0;100.0
23/01/2026 19:12:40;69;-52;-55;0;100.0
23/01/2026 19:12:41;70;-52;-55;0;100.0
23/01/2026 19:12:42;71;-52;-55;0;100.0
23/01/2026 19:12:43;72;-52;-55;0;100.0
23/01/2026 19:12:44;73;-52;-55;0;100.0
23/01/2026 19:12:45;74;-52;-55;0;100.0
23/01/2026 19:12:46;75;-52;-55;0;100.0
23/01/2026 19:12:47;76;-52;-55;0;100.0
23/01/2026 19:12:48;77;-52;-55;0;100.0
23/01/2026 19:12:49;78;-52;-55;0;100.0
23/01/2026 19:12:50;79;-52;-55;0;100.0
23/01/2026 19:12:51;80;-52;-55;0;100.0
23/01/2026 19:12:52;81;-52;-55;0;100.0
